,index,prime_Value
0,1,1
1,2,3
2,3,5
3,4,7
4,5,11
5,6,13
6,7,17
7,8,19
8,9,23
9,10,29
10,11,31
11,12,37
12,13,41
13,14,43
14,15,47
15,16,53
16,17,59
17,18,61
18,19,67
19,20,71
20,21,73
21,22,79
22,23,83
23,24,89
24,25,97
25,26,101
26,27,103
27,28,107
28,29,109
29,30,113
30,31,127
31,32,131
32,33,137
33,34,139
34,35,149
35,36,151
36,37,157
37,38,163
38,39,167
39,40,173
40,41,179
41,42,181
42,43,191
43,44,193
44,45,197
45,46,199
46,47,211
47,48,223
48,49,227
49,50,229
50,51,233
51,52,239
52,53,241
53,54,251
54,55,257
55,56,263
56,57,269
57,58,271
58,59,277
59,60,281
60,61,283
61,62,293
62,63,307
63,64,311
64,65,313
65,66,317
66,67,331
67,68,337
68,69,347
69,70,349
70,71,353
71,72,359
72,73,367
73,74,373
74,75,379
75,76,383
76,77,389
77,78,397
78,79,401
79,80,409
80,81,419
81,82,421
82,83,431
83,84,433
84,85,439
85,86,443
86,87,449
87,88,457
88,89,461
89,90,463
90,91,467
91,92,479
92,93,487
93,94,491
94,95,499
95,96,503
96,97,509
97,98,521
98,99,523
99,100,541
100,101,547
101,102,557
102,103,563
103,104,569
104,105,571
105,106,577
106,107,587
107,108,593
108,109,599
109,110,601
110,111,607
111,112,613
112,113,617
113,114,619
114,115,631
115,116,641
116,117,643
117,118,647
118,119,653
119,120,659
120,121,661
121,122,673
122,123,677
123,124,683
124,125,691
125,126,701
126,127,709
127,128,719
128,129,727
129,130,733
130,131,739
131,132,743
132,133,751
133,134,757
134,135,761
135,136,769
136,137,773
137,138,787
138,139,797
139,140,809
140,141,811
141,142,821
142,143,823
143,144,827
144,145,829
145,146,839
146,147,853
147,148,857
148,149,859
149,150,863
150,151,877
151,152,881
152,153,883
153,154,887
154,155,907
155,156,911
156,157,919
157,158,929
158,159,937
159,160,941
160,161,947
161,162,953
162,163,967
163,164,971
164,165,977
165,166,983
166,167,991
167,168,997
168,169,1009
169,170,1013
170,171,1019
171,172,1021
172,173,1031
173,174,1033
174,175,1039
175,176,1049
176,177,1051
177,178,1061
178,179,1063
179,180,1069
180,181,1087
181,182,1091
182,183,1093
183,184,1097
184,185,1103
185,186,1109
186,187,1117
187,188,1123
188,189,1129
189,190,1151
190,191,1153
191,192,1163
192,193,1171
193,194,1181
194,195,1187
195,196,1193
196,197,1201
197,198,1213
198,199,1217
199,200,1223
200,201,1229
201,202,1231
202,203,1237
203,204,1249
204,205,1259
205,206,1277
206,207,1279
207,208,1283
208,209,1289
209,210,1291
210,211,1297
211,212,1301
212,213,1303
213,214,1307
214,215,1319
215,216,1321
216,217,1327
217,218,1361
218,219,1367
219,220,1373
220,221,1381
221,222,1399
222,223,1409
223,224,1423
224,225,1427
225,226,1429
226,227,1433
227,228,1439
228,229,1447
229,230,1451
230,231,1453
231,232,1459
232,233,1471
233,234,1481
234,235,1483
235,236,1487
236,237,1489
237,238,1493
238,239,1499
239,240,1511
240,241,1523
241,242,1531
242,243,1543
243,244,1549
244,245,1553
245,246,1559
246,247,1567
247,248,1571
248,249,1579
249,250,1583
250,251,1597
251,252,1601
252,253,1607
253,254,1609
254,255,1613
255,256,1619
256,257,1621
257,258,1627
258,259,1637
259,260,1657
260,261,1663
261,262,1667
262,263,1669
263,264,1693
264,265,1697
265,266,1699
266,267,1709
267,268,1721
268,269,1723
269,270,1733
270,271,1741
271,272,1747
272,273,1753
273,274,1759
274,275,1777
275,276,1783
276,277,1787
277,278,1789
278,279,1801
279,280,1811
280,281,1823
281,282,1831
282,283,1847
283,284,1861
284,285,1867
285,286,1871
286,287,1873
287,288,1877
288,289,1879
289,290,1889
290,291,1901
291,292,1907
292,293,1913
293,294,1931
294,295,1933
295,296,1949
296,297,1951
297,298,1973
298,299,1979
299,300,1987
300,301,1993
301,302,1997
302,303,1999
303,304,2003
304,305,2011
305,306,2017
306,307,2027
307,308,2029
308,309,2039
309,310,2053
310,311,2063
311,312,2069
312,313,2081
313,314,2083
314,315,2087
315,316,2089
316,317,2099
317,318,2111
318,319,2113
319,320,2129
320,321,2131
321,322,2137
322,323,2141
323,324,2143
324,325,2153
325,326,2161
326,327,2179
327,328,2203
328,329,2207
329,330,2213
330,331,2221
331,332,2237
332,333,2239
333,334,2243
334,335,2251
335,336,2267
336,337,2269
337,338,2273
338,339,2281
339,340,2287
340,341,2293
341,342,2297
342,343,2309
343,344,2311
344,345,2333
345,346,2339
346,347,2341
347,348,2347
348,349,2351
349,350,2357
350,351,2371
351,352,2377
352,353,2381
353,354,2383
354,355,2389
355,356,2393
356,357,2399
357,358,2411
358,359,2417
359,360,2423
360,361,2437
361,362,2441
362,363,2447
363,364,2459
364,365,2467
365,366,2473
366,367,2477
367,368,2503
368,369,2521
369,370,2531
370,371,2539
371,372,2543
372,373,2549
373,374,2551
374,375,2557
375,376,2579
376,377,2591
377,378,2593
378,379,2609
379,380,2617
380,381,2621
381,382,2633
382,383,2647
383,384,2657
384,385,2659
385,386,2663
386,387,2671
387,388,2677
388,389,2683
389,390,2687
390,391,2689
391,392,2693
392,393,2699
393,394,2707
394,395,2711
395,396,2713
396,397,2719
397,398,2729
398,399,2731
399,400,2741
400,401,2749
401,402,2753
402,403,2767
403,404,2777
404,405,2789
405,406,2791
406,407,2797
407,408,2801
408,409,2803
409,410,2819
410,411,2833
411,412,2837
412,413,2843
413,414,2851
414,415,2857
415,416,2861
416,417,2879
417,418,2887
418,419,2897
419,420,2903
420,421,2909
421,422,2917
422,423,2927
423,424,2939
424,425,2953
425,426,2957
426,427,2963
427,428,2969
428,429,2971
429,430,2999
430,431,3001
431,432,3011
432,433,3019
433,434,3023
434,435,3037
435,436,3041
436,437,3049
437,438,3061
438,439,3067
439,440,3079
440,441,3083
441,442,3089
442,443,3109
443,444,3119
444,445,3121
445,446,3137
446,447,3163
447,448,3167
448,449,3169
449,450,3181
450,451,3187
451,452,3191
452,453,3203
453,454,3209
454,455,3217
455,456,3221
456,457,3229
457,458,3251
458,459,3253
459,460,3257
460,461,3259
461,462,3271
462,463,3299
463,464,3301
464,465,3307
465,466,3313
466,467,3319
467,468,3323
468,469,3329
469,470,3331
470,471,3343
471,472,3347
472,473,3359
473,474,3361
474,475,3371
475,476,3373
476,477,3389
477,478,3391
478,479,3407
479,480,3413
480,481,3433
481,482,3449
482,483,3457
483,484,3461
484,485,3463
485,486,3467
486,487,3469
487,488,3491
488,489,3499
489,490,3511
490,491,3517
491,492,3527
492,493,3529
493,494,3533
494,495,3539
495,496,3541
496,497,3547
497,498,3557
498,499,3559
499,500,3571
500,501,3581
501,502,3583
502,503,3593
503,504,3607
504,505,3613
505,506,3617
506,507,3623
507,508,3631
508,509,3637
509,510,3643
510,511,3659
511,512,3671
512,513,3673
513,514,3677
514,515,3691
515,516,3697
516,517,3701
517,518,3709
518,519,3719
519,520,3727
520,521,3733
521,522,3739
522,523,3761
523,524,3767
524,525,3769
525,526,3779
526,527,3793
527,528,3797
528,529,3803
529,530,3821
530,531,3823
531,532,3833
532,533,3847
533,534,3851
534,535,3853
535,536,3863
536,537,3877
537,538,3881
538,539,3889
539,540,3907
540,541,3911
541,542,3917
542,543,3919
543,544,3923
544,545,3929
545,546,3931
546,547,3943
547,548,3947
548,549,3967
549,550,3989
550,551,4001
551,552,4003
552,553,4007
553,554,4013
554,555,4019
555,556,4021
556,557,4027
557,558,4049
558,559,4051
559,560,4057
560,561,4073
561,562,4079
562,563,4091
563,564,4093
564,565,4099
565,566,4111
566,567,4127
567,568,4129
568,569,4133
569,570,4139
570,571,4153
571,572,4157
572,573,4159
573,574,4177
574,575,4201
575,576,4211
576,577,4217
577,578,4219
578,579,4229
579,580,4231
580,581,4241
581,582,4243
582,583,4253
583,584,4259
584,585,4261
585,586,4271
586,587,4273
587,588,4283
588,589,4289
589,590,4297
590,591,4327
591,592,4337
592,593,4339
593,594,4349
594,595,4357
595,596,4363
596,597,4373
597,598,4391
598,599,4397
599,600,4409
600,601,4421
601,602,4423
602,603,4441
603,604,4447
604,605,4451
605,606,4457
606,607,4463
607,608,4481
608,609,4483
609,610,4493
610,611,4507
611,612,4513
612,613,4517
613,614,4519
614,615,4523
615,616,4547
616,617,4549
617,618,4561
618,619,4567
619,620,4583
620,621,4591
621,622,4597
622,623,4603
623,624,4621
624,625,4637
625,626,4639
626,627,4643
627,628,4649
628,629,4651
629,630,4657
